"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "SVG", "TypeScript React", "CSS", "HTML", "comment", "blank", "total"
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/assets/images/styleMD.svg", "SVG", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/assets/images/styleSM.svg", "SVG", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/assets/images/tape1.svg", "SVG", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeHeader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeSection1.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 6, 36
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeSection2.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeSection3.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 7, 40
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeSection4.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 12, 41
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/PeSection5.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/core/PeText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/components/responsiveBackground.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 12, 47
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/constants/PeColours.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/PE/types/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tobycarroll/develop/sohohouse/src/components/Pages/Shadow/Shadow.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
